Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2009-01-16,Albury,14.9,26.7,0,NA,NA,SW,56,WSW,SW,20,31,46,20,1014.1,1012.7,NA,NA,18,25.5,No,No
2009-01-17,Albury,10.5,28.4,0,NA,NA,SE,33,SE,SW,19,11,35,16,1019.7,1017.4,NA,NA,16,25.8,No,No
2009-01-18,Albury,11.3,32.2,0,NA,NA,WNW,28,ENE,SSW,17,15,34,17,1019.7,1016.2,NA,NA,20.9,30.5,No,No
2009-01-19,Albury,13.9,36.6,0,NA,NA,WNW,39,SSE,NNE,2,15,39,10,1015.8,1010.6,NA,NA,22,34.4,No,No
2009-01-20,Albury,18.6,39.9,0,NA,NA,NNW,61,SSE,WNW,9,20,36,21,1010.1,1004.8,NA,NA,26.8,37.7,No,No
2009-01-21,Albury,19.3,38.1,0.8,NA,NA,NNW,61,NE,WSW,15,17,48,17,1009.6,1005.9,NA,NA,27.3,36.1,No,No
2009-01-22,Albury,24.4,34,0.6,NA,NA,NW,98,N,NNW,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,No,Yes
2009-01-23,Albury,18.8,35.2,6.4,NA,NA,WNW,52,S,NW,6,28,43,28,1007.9,1003.9,NA,NA,22.8,33,Yes,No
2009-01-24,Albury,20.8,30.6,0,NA,NA,W,54,W,W,30,28,41,21,1005.4,1007.6,NA,NA,23.3,29.7,No,No
2009-01-25,Albury,14,34.3,0,NA,NA,WSW,24,ESE,SSE,7,13,44,10,1016.5,1014.6,NA,NA,21.2,32.1,No,No
2009-01-26,Albury,15.7,38.4,0,NA,NA,S,33,SSE,WSW,7,7,48,12,1017.7,1014.6,NA,NA,23.4,36.5,No,No
2009-01-27,Albury,18.5,38.2,0,NA,NA,NNE,31,SE,NNW,9,17,48,25,1017.8,1014.1,NA,NA,25.8,36.2,No,No
2009-01-28,Albury,20.4,40.7,0,NA,NA,N,37,E,NNE,7,13,45,15,1014.9,1011.6,NA,NA,28.2,39.2,No,No
2009-01-29,Albury,21.8,41.5,0,NA,NA,SW,24,ESE,S,6,11,38,13,1015.7,1011.8,NA,NA,29,40.1,No,No
2009-01-30,Albury,22.3,42.9,0,NA,NA,NNE,28,ESE,SE,9,11,37,11,1014.6,1010.2,NA,NA,29.2,41.2,No,No
2009-01-31,Albury,22,42.7,0,NA,NA,ESE,48,ESE,SW,4,4,33,11,1014.2,1010.5,NA,NA,29.9,42,No,No
2009-02-01,Albury,28,43.1,0,NA,NA,SW,83,SE,E,15,9,27,9,1012.5,1008.7,NA,NA,32.4,41.9,No,No
2009-02-02,Albury,24.4,38.3,0.2,NA,NA,SW,56,NE,NW,19,7,32,21,1011.7,1007.4,NA,NA,28.8,37.1,No,No
2009-02-03,Albury,21.5,37.7,0,NA,NA,NA,NA,N,NA,13,9,51,21,1009.2,1005.7,NA,NA,27.2,36.2,No,No
2009-02-04,Albury,21.7,36.9,0,NA,NA,NA,NA,NA,NA,11,11,53,26,1008.8,1004.7,NA,NA,25.5,35.2,No,No
2009-02-05,Albury,21.5,41.2,0,NA,NA,WSW,35,SSE,S,7,19,48,15,1005.9,1002.6,NA,NA,26.5,39.7,No,No
2009-02-06,Albury,23.5,42.2,0,NA,NA,W,37,SE,W,6,15,39,8,1008,1005,NA,NA,28.7,41.6,No,No
2009-02-07,Albury,22.3,44.8,0,NA,NA,NNW,59,SE,NW,9,33,36,11,1008.2,1003.8,NA,NA,29.6,43.4,No,No
2009-02-08,Albury,28.3,40.2,0,NA,NA,NW,52,N,W,9,22,20,19,1007,1006.5,NA,5,34.5,38.5,No,No
2009-02-09,Albury,18.4,31.2,0.4,NA,NA,SE,37,SW,WSW,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,No,No
2009-02-10,Albury,14.9,27.3,0,NA,NA,SSE,41,SSE,SE,20,13,50,30,1011.6,1008.5,NA,1,17.4,25.8,No,No
2009-02-11,Albury,13.5,26.7,0,NA,NA,SSE,46,SSE,E,19,11,45,24,1012.8,1011.1,NA,NA,16.7,24.9,No,No
2009-02-12,Albury,16.1,21.6,0,NA,NA,SE,46,SSE,NE,11,15,58,69,1017,1017.3,2,8,17,17.3,No,Yes
2009-02-13,Albury,14.6,29,3,NA,NA,SSE,41,SE,SSE,26,24,41,21,1023.3,1019.7,NA,NA,18,27.6,Yes,No
2009-02-14,Albury,12.4,29.2,0,NA,NA,NE,39,S,NA,7,0,37,18,1022.5,1016.4,NA,NA,18.3,28.5,No,No
2009-02-15,Albury,13.3,31.3,0,NA,NA,NNE,41,SSE,SSW,7,15,50,23,1016.2,1012.8,NA,NA,19.2,29.2,No,No
2009-02-16,Albury,17.2,31.1,0,NA,NA,E,35,SE,ESE,17,11,43,22,1017.7,1013.8,NA,NA,21.4,29.5,No,No
2009-02-17,Albury,12.5,28.8,0,NA,NA,N,31,SSE,ENE,7,11,46,17,1017.2,1013.5,NA,NA,18,27,No,No
2009-02-18,Albury,18,32,0,NA,NA,NW,31,ENE,SW,4,13,44,22,1012.4,1007.5,NA,NA,22.1,30.7,No,No
2009-02-19,Albury,16.2,34,0,NA,NA,WSW,48,SE,WSW,4,22,53,16,1007.8,1004.5,NA,NA,21,32.7,No,No
2009-02-20,Albury,18.7,29.1,0,NA,NA,SSW,41,NNW,SSE,7,17,45,39,1010.1,1010.8,NA,NA,21.5,26.8,No,No
2009-02-21,Albury,13.7,31.7,0,NA,NA,SSE,28,SSE,S,2,9,63,19,1012.5,1010.4,NA,NA,19.3,29.8,No,No
2009-02-22,Albury,15.5,33.2,0,NA,NA,NW,31,S,WNW,11,15,49,23,1015.6,1012.4,NA,NA,20.9,31.3,No,No
2009-02-23,Albury,14.3,34,0,NA,NA,NW,70,SE,NW,6,22,48,10,1013,1009.2,NA,NA,20.7,33.4,No,No
2009-02-24,Albury,12.9,29.6,0,NA,NA,WNW,46,SW,WNW,7,24,54,14,1014,1012.7,6,7,18.7,28.6,No,No
2009-02-25,Albury,8.9,31.9,0,NA,NA,WNW,43,NA,WSW,0,17,49,16,1016.6,1013.4,7,7,15,29.3,No,No
2009-02-26,Albury,15,32.7,0,NA,NA,ESE,26,ESE,S,15,2,43,19,1017.8,1015,NA,NA,20.7,30.5,No,No
2009-02-27,Albury,15.4,32.6,0,NA,NA,W,24,NA,S,0,6,53,25,1016.2,1012.6,NA,NA,20,30.8,No,No
2009-02-28,Albury,16,34.5,0,NA,NA,WSW,44,E,NA,6,NA,44,14,1007.5,1004.6,NA,NA,22.2,33.6,No,No
2009-03-01,Albury,12.8,30.3,0,NA,NA,W,30,W,WSW,4,13,53,27,1010.5,1008.7,NA,NA,17.3,28.1,No,No
2009-03-02,Albury,13.2,31.9,0,NA,NA,NNW,35,S,ENE,6,9,53,25,1014.1,1011.6,NA,NA,18,29.8,No,No
2009-03-03,Albury,18,31.1,0,NA,NA,WNW,52,NE,NNE,15,26,58,35,1014.7,1009,5,NA,23,29.2,No,No
2009-03-04,Albury,13.8,22.1,0.2,NA,NA,WNW,57,W,WNW,26,33,57,26,1014.5,1013.1,NA,NA,15.6,21.9,No,No
2009-03-05,Albury,11.5,22,0,NA,NA,SW,50,WSW,W,19,33,60,33,1013.7,1011.8,NA,NA,13.9,21.4,No,No
2009-03-06,Albury,7.6,24,0,NA,NA,WSW,30,NA,WNW,0,13,52,23,1014.5,1012,NA,NA,12.6,22,No,No
2009-03-07,Albury,8.3,27.9,0,NA,NA,W,37,S,W,4,20,58,22,1015.2,1012.4,NA,NA,13.3,27,No,No
2009-03-08,Albury,11,30.2,0,NA,NA,SSE,24,E,SSE,7,11,54,20,1017,1014.7,NA,NA,17.6,28.8,No,No
2014-07-21,BadgerysCreek,3.1,17.8,0,NA,NA,E,17,SW,NE,6,2,84,48,1027,1023.1,NA,NA,8.7,16.5,No,No
2014-07-22,BadgerysCreek,3.4,19,0,NA,NA,ENE,19,SW,NNW,6,4,100,44,1024.9,1021.9,NA,NA,9.4,18.8,No,No
2014-07-23,BadgerysCreek,3,18,0,NA,NA,NNE,20,NNE,ENE,4,9,100,49,1025.5,1021.3,NA,NA,9.2,17.5,No,No
2014-07-24,BadgerysCreek,3.7,15.9,0,NA,NA,N,15,NA,N,0,7,100,67,1022.9,1019,NA,NA,9.2,15.3,No,No
2014-07-25,BadgerysCreek,2.9,21.8,0,NA,NA,N,44,NNW,N,6,22,100,48,1022.8,1019.1,NA,NA,5.8,20.8,No,Yes
2014-07-26,BadgerysCreek,5.7,18.5,4,NA,NA,W,59,NNE,WNW,9,6,100,58,1023.6,1020.5,NA,NA,10.6,17.6,Yes,Yes
2014-07-27,BadgerysCreek,3.6,19.5,2.2,NA,NA,WSW,26,N,SW,2,11,84,41,1024.7,1021.2,NA,NA,10.8,19.1,Yes,No
2014-07-28,BadgerysCreek,4.4,17.7,0,NA,NA,WNW,22,WNW,N,13,9,69,48,1021.5,1018.1,NA,NA,11.4,16.3,No,No
2014-07-29,BadgerysCreek,6.9,22.6,0,NA,NA,NNW,43,NNE,WNW,13,24,69,27,1018,1012.8,NA,NA,11.9,22.4,No,No
2014-07-30,BadgerysCreek,5.6,22.9,0,NA,NA,W,37,WNW,WNW,11,20,51,36,1018.1,1014.9,NA,NA,17.3,22.1,No,No
2014-07-31,BadgerysCreek,7.8,24.6,0,NA,NA,NW,59,NNE,WNW,7,20,61,23,1014.1,1007.5,NA,NA,14.3,23.8,No,No
2014-08-01,BadgerysCreek,11.6,18,0,NA,NA,W,61,NW,W,19,30,46,28,1007.5,1008.9,NA,NA,16.2,15.5,No,No
2014-08-02,BadgerysCreek,2.4,15.6,0,NA,NA,SW,39,WSW,SSE,15,9,48,33,1025.1,1026.5,NA,NA,9.9,15,No,No
2014-08-03,BadgerysCreek,2.4,16.6,0,NA,NA,SW,19,SW,NE,9,6,66,39,1034.3,1031.7,NA,NA,8.7,16.1,No,No
2014-08-04,BadgerysCreek,1.6,19,0,NA,NA,NNE,28,NA,NE,0,9,87,48,1034.4,1029.8,NA,NA,8.7,17.9,No,No
2014-08-05,BadgerysCreek,1.4,20,0,NA,NA,SSW,28,SSW,SSW,4,15,100,24,1032,1029.2,NA,NA,8.1,19.2,No,No
2014-08-06,BadgerysCreek,-0.4,20.9,0,NA,NA,WSW,22,WNW,N,6,7,77,36,1032.8,1025.9,NA,NA,8.3,20.3,No,No
2014-08-07,BadgerysCreek,1.6,19.3,0,NA,NA,SW,30,SW,S,19,2,56,33,1029.9,1027.2,NA,NA,12,19.2,No,No
2014-08-08,BadgerysCreek,2.3,18.4,0,NA,NA,E,22,WSW,NNE,6,9,83,54,1032.2,1029.3,NA,NA,9.3,17.8,No,No
2014-08-09,BadgerysCreek,2.4,21.3,0,NA,NA,ENE,13,NNW,NE,2,4,100,37,1029.9,1024.4,NA,NA,8.6,20.6,No,No
2014-08-10,BadgerysCreek,4.5,22.6,0,NA,NA,WSW,35,WNW,W,6,20,79,28,1022.5,1017.9,NA,NA,9.6,21.2,No,No
2014-08-11,BadgerysCreek,1.6,14.7,0,NA,NA,SSW,33,SW,E,9,7,54,38,1025.9,1024.6,NA,NA,9.7,13.6,No,No
2014-08-12,BadgerysCreek,4.7,14.4,0,NA,NA,SSW,31,SW,S,11,20,64,66,1030.4,1028.6,NA,NA,9.6,12.3,No,Yes
2014-08-13,BadgerysCreek,5.1,17.1,2.2,NA,NA,SSW,26,SW,S,19,6,65,38,1033.8,1031.3,NA,NA,10.7,15.9,Yes,No
2014-08-14,BadgerysCreek,0.9,18.3,0,NA,NA,NNW,22,WSW,ENE,4,7,69,41,1035.4,1032,NA,NA,9.4,17.9,No,No
2014-08-15,BadgerysCreek,3.8,19.1,0,NA,NA,E,26,SW,NE,6,7,85,42,1031.5,1025.9,NA,NA,11.3,18.4,No,No
2014-08-16,BadgerysCreek,5.4,17.3,0,NA,NA,ESE,20,SSW,E,7,13,100,65,1023.9,1018.8,NA,NA,10.6,16.7,No,Yes
2014-08-17,BadgerysCreek,10.6,16.1,27,NA,NA,WSW,35,NA,W,0,13,100,100,1010.6,1004.9,NA,NA,13,13.7,Yes,Yes
2014-08-18,BadgerysCreek,10.7,15.8,44.2,NA,NA,SSW,54,SSW,SSW,31,30,99,71,1004.1,1006.3,NA,NA,12.4,15.1,Yes,Yes
2014-08-19,BadgerysCreek,11.5,17.5,18.4,NA,NA,SW,61,SW,SSE,22,26,75,75,1016.4,1017.3,NA,NA,14.2,13.4,Yes,Yes
2014-08-20,BadgerysCreek,8.6,16.9,1.2,NA,NA,SW,35,SSW,ESE,19,15,65,55,1025.5,1024.1,NA,NA,12.5,15.5,Yes,No
2014-08-21,BadgerysCreek,5.5,17,0,NA,NA,SE,28,SW,SE,11,15,80,61,1029.5,1027,NA,NA,12.3,16.5,No,No
2014-08-22,BadgerysCreek,9.9,19.2,0,NA,NA,S,22,SSW,SW,11,4,75,53,1032,1028.6,NA,NA,14.6,18.6,No,No
2014-08-23,BadgerysCreek,8,18.4,0.2,NA,NA,ESE,26,NA,ESE,0,9,88,83,1031.4,1029,NA,NA,14.8,14.7,No,Yes
2014-08-24,BadgerysCreek,7.5,20.1,5,NA,NA,ENE,19,SSW,N,2,4,100,52,1030.1,1026,NA,NA,12.3,19.7,Yes,No
2014-08-25,BadgerysCreek,6.9,21.1,0,NA,NA,E,28,W,E,4,15,89,62,1025.9,1021.7,NA,NA,13.4,18.2,No,Yes
2014-08-26,BadgerysCreek,8.9,14.7,7.4,NA,NA,SSW,30,SSE,S,7,11,100,94,1023.9,1023,NA,NA,12.8,14.4,Yes,Yes
2014-08-27,BadgerysCreek,11.5,17.5,28.4,NA,NA,S,48,SSW,S,13,28,95,73,1026.3,1024.4,NA,NA,13.4,15.4,Yes,Yes
2014-08-28,BadgerysCreek,9.9,18.6,1.6,NA,NA,SSE,39,SW,S,15,13,85,69,1027.4,1026.2,NA,NA,14.1,16.1,Yes,No
2014-08-29,BadgerysCreek,7.8,17.1,0.2,NA,NA,S,39,SW,SSW,15,20,72,61,1027.3,1024.1,NA,NA,13.9,16.8,No,No
2014-08-30,BadgerysCreek,9.9,17,0,NA,NA,SW,37,SW,SW,22,19,68,68,1024.2,1022,NA,NA,14.3,16.5,No,No
2014-08-31,BadgerysCreek,9.7,21.9,0,NA,NA,E,26,SW,S,15,7,71,45,1021.4,1016.7,NA,NA,14.8,20.6,No,No
2014-09-01,BadgerysCreek,6.7,22.9,0,NA,NA,WNW,30,WSW,NNE,4,11,84,44,1017,1010.4,NA,NA,13.2,22.8,No,No
2014-09-02,BadgerysCreek,12.4,16.8,0,NA,NA,SW,56,WSW,SW,13,24,57,52,1009,1008.2,NA,NA,16.1,15,No,Yes
2014-09-03,BadgerysCreek,8.3,17.1,2.4,NA,NA,SW,59,SSW,SSW,31,26,52,44,1014.3,1012.5,NA,NA,12.4,15.5,Yes,No
2014-09-04,BadgerysCreek,7.2,17.2,0,NA,NA,SW,46,SSW,S,28,20,54,45,1016.5,1015.1,NA,NA,13.6,15.7,No,No
2014-09-05,BadgerysCreek,8.7,17,0,NA,NA,SSW,41,SSW,S,22,15,63,68,1022.2,1022.1,NA,NA,13.7,15.1,No,Yes
2014-09-06,BadgerysCreek,8.4,16.9,1.4,NA,NA,SE,31,SW,SE,11,19,73,59,1029.6,1028.3,NA,NA,14,15.9,Yes,Yes
2014-09-07,BadgerysCreek,10.3,17.5,1.2,NA,NA,SW,17,SW,N,11,9,81,85,1032,1028,NA,NA,13.4,14.9,Yes,Yes
2014-09-08,BadgerysCreek,7.4,20,2,NA,NA,NNE,33,NA,NNE,0,15,92,54,1029.4,1023.5,NA,NA,14.4,19.3,Yes,No
2014-09-09,BadgerysCreek,5.7,24.4,0,NA,NA,N,35,NNW,N,6,20,100,48,1018.9,1012.1,NA,NA,11.1,23.4,No,Yes
2014-09-10,BadgerysCreek,11.1,22.6,8,NA,NA,WSW,48,NW,W,4,31,73,38,1007.6,1009.5,NA,NA,16.3,21.3,Yes,No
2014-09-11,BadgerysCreek,6.8,25.1,0,NA,NA,WSW,35,N,NNE,9,9,66,38,1016.7,1013.5,NA,NA,15.7,23.6,No,No
2014-09-12,BadgerysCreek,10.9,16.4,0,NA,NA,SE,17,SW,SE,6,11,77,61,1025.8,1023.9,NA,NA,13.8,15.7,No,No
2014-09-13,BadgerysCreek,11.7,20.1,0,NA,NA,ENE,28,SW,E,4,17,77,63,1027,1022.3,NA,NA,14.8,19,No,No
2014-09-14,BadgerysCreek,9.1,25,0,NA,NA,E,31,E,ENE,2,7,100,40,1020.4,1015.3,NA,NA,14.4,23.9,No,No
2014-09-15,BadgerysCreek,9.8,22,0,NA,NA,E,28,NNW,SE,4,6,71,43,1018.5,1014,NA,NA,16.9,21.6,No,No
2014-09-16,BadgerysCreek,11.8,23.6,0,NA,NA,WNW,43,W,WNW,4,13,88,48,1010.7,1005.9,NA,NA,15.1,21.7,No,No
2014-09-17,BadgerysCreek,9.1,20.4,0.4,NA,NA,SW,61,WSW,W,28,28,42,33,1012.7,1010.6,NA,NA,16.9,19.6,No,No
2014-09-18,BadgerysCreek,6.2,19.7,0,NA,NA,WSW,30,WSW,SE,20,13,36,27,1018.9,1016.2,NA,NA,14.3,18.6,No,No
2014-09-19,BadgerysCreek,3.2,20.6,0,NA,NA,E,26,SW,NE,6,9,60,30,1022.2,1018,NA,NA,13,19,No,No
2014-09-20,BadgerysCreek,3.6,20.1,0,NA,NA,E,30,S,ESE,7,15,50,48,1024.5,1022.8,NA,NA,15.2,18.6,No,No
2014-09-21,BadgerysCreek,7.8,20.9,0,NA,NA,E,30,SSW,N,13,7,66,42,1030.8,1026.5,NA,NA,14.4,20.3,No,No
2014-09-22,BadgerysCreek,9.5,21.4,0,NA,NA,ENE,26,E,N,4,6,65,36,1032.2,1028,NA,NA,17.6,21.1,No,No
2014-09-23,BadgerysCreek,5.6,23.1,0,NA,NA,E,28,S,NE,2,11,73,34,1030.2,1025.1,NA,NA,15,22.7,No,No
2014-09-24,BadgerysCreek,7.4,26.3,0,NA,NA,N,22,W,NE,2,11,76,34,1022.8,1015.8,NA,NA,16.1,25.4,No,No
2014-09-25,BadgerysCreek,13.7,21.4,0.4,NA,NA,ESE,41,NNE,SSE,9,4,77,84,1011.8,1009.7,NA,NA,18,18.2,No,Yes
2014-09-26,BadgerysCreek,8.9,20.8,5,NA,NA,ENE,26,SW,NNE,13,11,69,50,1018.3,1015,NA,NA,16.9,20.4,Yes,No
2014-09-27,BadgerysCreek,10.7,21.9,0,NA,NA,E,24,SSW,ENE,9,17,59,48,1021.3,1018.4,NA,NA,17.3,20.6,No,No
2014-09-28,BadgerysCreek,6.7,25.8,0,NA,NA,NNE,30,N,NNE,4,17,71,33,1021.8,1015,NA,NA,15.9,25.5,No,No
2014-09-29,BadgerysCreek,8.6,31.4,0,NA,NA,WNW,37,N,NW,7,15,50,20,1014.6,1011,NA,NA,21,31.1,No,No
2014-09-30,BadgerysCreek,10.1,33.5,0,NA,NA,WNW,63,NNE,WNW,7,33,56,17,1013.4,1007.1,NA,NA,21.2,32.9,No,No
2014-10-01,BadgerysCreek,13.7,20.9,0,NA,NA,WSW,61,SW,SSW,44,19,26,21,1017.7,1017.7,NA,NA,16.2,20,No,No
2014-10-02,BadgerysCreek,4.8,24.4,0,NA,NA,WNW,22,N,NNE,7,9,54,28,1021.9,1016.4,NA,NA,16,23.7,No,No
2014-10-03,BadgerysCreek,7.7,22.7,0,NA,NA,E,33,NW,ESE,2,19,53,58,1021,1018.6,NA,NA,18.2,21,No,No
2014-10-04,BadgerysCreek,12.6,25.9,0,NA,NA,N,26,N,NE,13,6,72,42,1020.2,1014.7,NA,NA,18.3,25,No,No
2014-10-05,BadgerysCreek,8.2,33.3,0,NA,NA,ESE,31,N,NNE,4,4,86,19,1016.2,1012.5,NA,NA,16.1,32.6,No,No
2014-10-06,BadgerysCreek,15.7,31.8,0,NA,NA,E,26,N,NNE,4,9,73,41,1019.2,1011.3,NA,NA,18.5,28.6,No,No
2014-10-07,BadgerysCreek,16.6,27.7,0,NA,NA,WSW,61,S,E,7,13,76,24,1008.2,1007.6,NA,NA,17.8,27.5,No,NA
2014-10-08,BadgerysCreek,11.6,21.7,NA,NA,NA,NA,NA,S,ENE,11,13,74,51,1018.7,1017.2,NA,NA,16.3,21.1,NA,No
2014-10-09,BadgerysCreek,13.1,23.3,0,NA,NA,ENE,31,NW,ENE,4,11,65,42,1023.2,1019.2,NA,NA,17.4,22.6,No,No
